local;cod;quant;dicofre
União das freguesias de Treixedo e Nagozela;16G181412;45;181412
União das freguesias de Mouraz e Vila Nova da Rainha;16G182129;45;182129
União das freguesias de Gondemaria e Olival;16I142120;45;142120
União das freguesias de Azinhal, Peva e Valverde;16J090231;45;090231
Maçainhas;16J090723;45;090723
Sortelha;16J091133;45;091133
União das freguesias de Azueira e Sobral da Abelheira;170110918;45;110918
Santiago de Piães;11C180412;44;180412
Tendais;11C180416;44;180416
União das freguesias de Sernancelhe e Sarzeda;11D181821;44;181821
Travanca de Lagos;16E061119;44;061119
Alcafache;16G180602;44;180602
Santiago de Besteiros;16G182118;44;182118
União das freguesias de Junça e Naves;16J090233;44;090233
União das freguesias de Vale Formoso e Aldeia do Souto;16J050338;44;050338
Moita;170150603;44;150603
Aveiras de Baixo;185110302;44;110302
União das freguesias de Conceição e Cabanas de Tavira;150081410;44;081410
Padornelo;111160514;43;160514
Navió e Vitorino dos Piães;111160760;43;160760
Leomil;11D180709;43;180709
Peso da Régua;11D1708;43;1D1708
União das freguesias de Ferradosa e Sendim da Serra;11E040123;43;040123
Babe;11E040203;43;040203
Gondesende;11E040217;43;040217
Samil;11E040240;43;040240
Arranhó;16B110201;43;110201
Lagares;16E061106;43;061106
Batalha;16F100401;43;100401
Maceira;16F100913;43;100913
Castro Daire;16G180304;43;180304
Fornos de Maceira Dão;16G180607;43;180607
Sardoal;16I141703;43;141703
Asseiceira;16I141802;43;141802
União das freguesias de Torres Novas (Santa Maria, Salvador e Santiago);16I141920;43;141920
Manteigas (Santa Maria);16J090802;43;090802
Bucelas;170110702;43;110702
Vila Real de Santo António;1500816;43;500816
Mondim de Basto;1191705;42;191705
Alfarela de Jales;11B171302;42;171302
Campeã;11D171406;42;171406
União das freguesias de Constantim e Vale de Nogueiras;11D171433;42;171433
Vilar Chão;11E040118;42;040118
Alfaião;11E040201;42;040201
Sezulfe;11E040528;42;040528
Chão de Couce;16F100304;42;100304
União das freguesias de Vouzela e Paços de Vilharigues;16G182415;42;182415
São Domingos de Rana;170110506;42;110506
Santana;186121207;42;121207
Tangil;111160428;41;160428
Vila do Conde;11A1316;41;1A1316
Covas do Barroso;11B170208;41;170208
Ferreiros de Tendais;11C180405;41;180405
Felgueiras;11C1303;41;1C1303
Fonte Longa;11D040306;41;040306
Cobro;11E040713;41;040713
Lamas de Orelhão;11E040718;41;040718
Póvoa de Midões;16E061611;41;061611
São João da Boa Vista;16E061612;41;061612
União das freguesias de Aguiar da Beira e Coruche;16G090114;41;090114
União das freguesias de Mangualde, Mesquitela e Cunha Alta;16G180619;41;180619
Campia;16G182403;41;182403
União das freguesias de Casais e Alviobeira;16I141818;41;141818
Queiriz;16J090512;41;090512
União das freguesias de Santo Antão e São Julião do Tojal;170110729;41;110729
Odivelas;1701116;41;701116
Vila de Frades;184021404;41;021404
Vale da Pedra;185140608;41;140608
Prozelo;111160128;40;160128
Riba de Mouro;111160424;40;160424
Cavez;119030407;40;030407
União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);11A131434;40;131434
Solveira;11B170631;40;170631
União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz;11D180722;40;180722
Candedo;11E041203;40;041203
Espinho;16E180804;40;180804
União das freguesias de Souto da Carpalhosa e Ortigosa;16F100940;40;100940
União das freguesias de Guia, Ilha e Mata Mourisca;16F101518;40;101518
União das freguesias de Vila Nova de Paiva, Alhais e Fráguas;16G182208;40;182208
Queirã;16G182409;40;182409
Casas do Soeiro;16J090322;40;090322
Alhos Vedros;170150601;40;150601
União das freguesias de Sago, Lordelo e Parada;111160439;39;160439
Labrujó, Rendufe e Vilar do Monte;111160759;39;160759
União das freguesias de Belver e Mogo de Malta;11D040321;39;040321
Cunha;11D181804;39;181804
União das freguesias de Felgar e Souto da Velha;11D040919;39;040919
Corujas;11E040511;39;040511
São Pedro Velho;11E040727;39;040727
Vale das Fontes;11E041227;39;041227
Alfeizerão;16B100102;39;100102
União das freguesias de Abrigada e Cabanas de Torres;16B110117;39;110117
Salir de Matos;16B100609;39;100609
Vagos;16D0118;39;6D0118
União das freguesias de Santar e Moreira;16G180911;39;180911
Canas de Santa Maria;16G182103;39;182103
União das freguesias de Tondela e Nandufe;16G182132;39;182132
Touro;16G182205;39;182205
Nossa Senhora do Pranto;16I141110;39;141110
União das freguesias de Freixianda, Ribeira do Fárrio e Formigais;16I142119;39;142119
União das freguesias de Serra e Junceira;16I141820;39;141820
Vila Nova de Tazem;16J090621;39;090621
Landeira;187071202;39;071202
Pias;111160420;38;160420
Santa Leocádia;11B170329;38;170329
Santa Valha;11B171220;38;171220
Serapicos;11B171224;38;171224
Torre de Moncorvo;11D040916;38;040916
Chacim;11E040509;38;040509
Grijó;11E040515;38;040515
União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro;16B100618;38;100618
União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova;16E060411;38;060411
União das freguesias de Ovoa e Vimieiro;16G181410;38;181410
União das freguesias de Cambra e Carvalhal de Vermilhas;16G182413;38;182413
Oleiros;16H0506;38;6H0506
Cavadoude;16J090713;38;090713
União das freguesias de Vila Franca das Naves e Feital;16J091334;38;091334
União das freguesias de Chamoim e Vilar;112031018;37;031018
Outeiro Seco;11B170321;37;170321
União das freguesias de Viade de Baixo e Fervidelas;11B170642;37;170642
Beselga;11D181202;37;181202
Coelhoso;11E040210;37;040210
Travanca;11E040820;37;040820
União das freguesias de Antuzede e Vil de Matos;16E060332;37;060332
União das freguesias de Colmeias e Memória;16F100932;37;100932
Pedrógão Grande;16F101302;37;101302
União das freguesias de Parada de Ester e Ester;16G180325;37;180325
Vilar Seco;16G180906;37;180906
União das freguesias de Carvalhais e Candal;16G181620;37;181620
São João de Lourosa;16G182327;37;182327
Montalvo;16I140802;37;140802
Vila Nova da Barquinha;16I1420;37;6I1420
Fornos de Algodres;16J090505;37;090505
Castanheira;16J090712;37;090712
Marialva;16J090908;37;090908
Terras de Massueime;16J091030;37;091030
União das freguesias de Atalaia e Safurdão;16J091035;37;091035
Bismula;16J091111;37;091111
União das freguesias de Santo Estêvão e Moita;16J091146;37;091146
Barreiro;1701504;37;701504
Gondoriz;111160115;36;160115
Abedim;111160401;36;160401
União das freguesias de Anhões e Luzio;111160434;36;160434
União das freguesias de Cambeses do Rio, Donões e Mourilhe;11B170636;36;170636
Arcozelos;11D180703;36;180703
